"Label";"Turnover volume index - Retail sale of clothing in specialised stores (NAF rev. 2, lev. Class, item 47.71) - SA-WDA data - Base 100 in 2010 - Stopped series";"Codes"
"idBank";"001777097";""
"Last update";"23/02/2018 12:00";""
"Period";"";""
"2017-12";"103.22";"A"
"2017-11";"107.97";"A"
"2017-10";"95.62";"A"
"2017-09";"107.21";"A"
"2017-08";"104.39";"A"
"2017-07";"104.68";"A"
"2017-06";"98.94";"A"
"2017-05";"106.5";"A"
"2017-04";"104.2";"A"
"2017-03";"104.82";"A"
"2017-02";"108.9";"A"
"2017-01";"95.82";"A"
"2016-12";"103.97";"A"
"2016-11";"101.09";"A"
"2016-10";"107.02";"A"
"2016-09";"93.05";"A"
"2016-08";"100.25";"A"
"2016-07";"99.93";"A"
"2016-06";"108.17";"A"
"2016-05";"100.34";"A"
"2016-04";"100.4";"A"
"2016-03";"99.36";"A"
"2016-02";"101.96";"A"
"2016-01";"106.33";"A"
"2015-12";"103.39";"A"
"2015-11";"95.43";"A"
"2015-10";"105.82";"A"
"2015-09";"105.51";"A"
"2015-08";"108.37";"A"
"2015-07";"107.38";"A"
"2015-06";"107.28";"A"
"2015-05";"104.19";"A"
"2015-04";"107.51";"A"
"2015-03";"103.72";"A"
"2015-02";"105.43";"A"
"2015-01";"104.56";"A"
"2014-12";"105.57";"A"
"2014-11";"103.46";"A"
"2014-10";"102.37";"A"
"2014-09";"100.21";"A"
"2014-08";"104.27";"A"
"2014-07";"103.21";"A"
"2014-06";"106.59";"A"
"2014-05";"103.98";"A"
"2014-04";"102.24";"A"
"2014-03";"106.88";"A"
"2014-02";"102.35";"A"
"2014-01";"107.34";"A"
"2013-12";"104.24";"A"
"2013-11";"106.29";"A"
"2013-10";"103.7";"A"
"2013-09";"104.4";"A"
"2013-08";"103.34";"A"
"2013-07";"104.31";"A"
"2013-06";"102.58";"A"
"2013-05";"100.56";"A"
"2013-04";"103.29";"A"
"2013-03";"98.88";"A"
"2013-02";"103.29";"A"
